year,month,Date,ABIDJAN 1-GRANDS PONTS,ABIDJAN 2,AGNEBY-TIASSA-ME,BELIER,BOUNKANI-GONTOUGO,CAVALLY-GUEMON,GBEKE,GBOKLE-NAWA-SAN PEDRO,GOH,HAMBOL,HAUT-SASSANDRA,INDENIE-DJUABLIN,KABADOUGOU-BAFING-FOLON,LOH-DJIBOUA,MARAHOUE,N'ZI-IFOU-MORONOU,PORO-TCHOLOGO-BAGOUE,SUD-COMOE,TONKPI,WORODOUGOU-BERE
2016,1,Jan-2016,1528,666,381,463,73,7,87,823,698,265,528,31,38,71,340,92,75,633,,53
2016,2,Feb-2016,1579,1112,290,203,84,5,112,307,367,125,688,0,78,245,,114,104,688,,10
2016,3,Mar-2016,2025,1649,464,331,160,227,100,301,1583,249,619,125,79,31,207,81,114,774,133,243
2016,4,Apr-2016,1978,857,326,366,252,349,77,321,537,225,316,60,85,130,428,97,151,832,23,254
2016,5,May-2016,1693,1144,503,721,203,122,166,1112,432,139,363,129,43,164,530,164,157,946,107,243
2016,6,Jun-2016,2056,2025,360,396,329,351,10,973,743,148,388,57,79,198,441,139,171,998,112,133
2016,7,Jul-2016,2027,1908,377,560,251,107,57,535,530,164,384,113,75,368,441,81,495,774,60,105
2016,8,Aug-2016,2097,1967,554,338,109,106,130,475,538,113,301,308,47,414,806,317,239,1046,10,196
2016,9,Sep-2016,1756,2915,959,203,478,332,67,464,1057,215,378,130,29,395,207,162,1206,1051,66,98
2016,10,Oct-2016,3161,2893,476,902,227,267,114,1065,574,209,312,181,83,376,143,225,837,996,243,127
2016,11,Nov-2016,2631,2709,529,488,126,183,80,1135,464,174,480,75,103,641,423,366,833,976,113,197
2016,12,Dec-2016,2436,1956,753,386,262,487,75,1113,648,358,427,117,212,921,387,309,713,1154,107,201
2017,1,Jan-2017,3050,2150,722,557,106,212,82,370,569,89,414,236,178,662,320,447,951,798,85,177
2017,2,Feb-2017,2473,2448,862,432,103,360,42,1247,421,225,264,371,44,945,432,424,1396,924,189,427
2017,3,Mar-2017,2446,2958,720,628,401,536,155,525,820,323,361,169,166,459,324,353,577,1097,138,250
2017,4,Apr-2017,2653,2656,528,689,566,305,110,566,624,334,402,225,189,787,396,510,664,1046,134,308
2017,5,May-2017,2315,2489,876,580,312,403,119,573,699,430,599,251,56,1185,329,340,567,1280,179,255
2017,6,Jun-2017,2119,1840,512,369,100,543,38,565,402,322,192,185,126,547,203,723,543,949,104,114
2017,7,Jul-2017,2186,1931,499,396,141,1267,97,184,450,213,585,111,145,294,223,314,384,881,215,144
2017,8,Aug-2017,1454,1500,432,443,158,235,118,375,479,179,264,132,141,629,378,1226,321,978,157,237
2017,9,Sep-2017,2401,2596,794,352,174,344,89,1882,517,133,500,122,136,527,491,406,518,791,146,163
2017,10,Oct-2017,1796,2449,525,358,243,408,99,746,726,101,331,160,158,508,532,395,442,1055,191,311
2017,11,Nov-2017,2417,1994,779,563,26,312,283,697,776,348,389,151,109,755,708,529,674,864,386,126
2017,12,Dec-2017,2115,1986,719,427,442,775,508,952,570,254,455,126,130,466,457,762,530,1103,288,107
2018,1,Jan-2018,2884,2916,737,533,315,462,277,946,689,237,276,191,166,180,477,613,489,911,234,166
2018,2,Feb-2018,2128,2250,967,651,135,358,287,725,539,181,312,125,143,440,355,494,754,805,239,200
2018,3,Mar-2018,2245,1503,768,553,97,541,265,1007,578,280,414,127,219,385,456,464,546,746,392,277
2018,4,Apr-2018,2162,1821,796,572,372,406,222,951,308,224,728,95,194,250,369,737,388,747,208,157
2018,5,May-2018,2269,1980,787,584,521,385,205,585,793,340,449,118,149,402,393,342,981,805,173,184
2018,6,Jun-2018,2233,2040,719,631,300,665,171,740,604,382,339,151,201,472,555,612,1679,764,187,212
2018,7,Jul-2018,2770,2508,937,702,189,439,265,1416,639,383,478,126,241,160,373,599,637,699,321,270
2018,8,Aug-2018,2422,2359,1044,621,211,601,230,766,538,282,412,153,125,485,674,282,1013,663,145,226
2018,9,Sep-2018,2688,2635,790,700,361,2090,355,598,530,256,364,169,124,343,731,766,529,833,444,208
2018,10,Oct-2018,2955,2990,938,602,182,1195,310,799,490,435,473,328,196,555,923,811,653,923,235,334
2018,11,Nov-2018,2929,2621,939,390,164,718,279,381,567,258,317,239,78,319,501,544,830,966,228,161
2018,12,Dec-2018,2493,2514,1488,976,113,551,349,1205,536,277,411,151,186,410,536,715,728,839,391,204
2019,1,Jan-2019,2477,4126,810,248,192,762,276,933,628,283,371,201,184,644,843,542,830,868,281,274
2019,2,Feb-2019,2691,3072,858,443,251,594,229,811,661,244,539,216,390,233,462,564,404,654,330,188
2019,3,Mar-2019,2715,2395,948,438,161,631,306,662,773,270,590,223,253,754,712,753,682,886,383,286
2019,4,Apr-2019,3180,3237,1283,556,289,673,308,1095,669,390,452,263,304,959,507,734,777,870,465,212
2019,5,May-2019,3053,3007,859,690,459,595,219,966,556,375,557,215,241,489,825,581,605,1182,425,246
2019,6,Jun-2019,4141,3292,1100,621,467,539,322,882,576,340,420,209,228,835,751,510,869,943,418,439
